Z(km) N2 CO2 CO O O2 N H NO H2 H2O
80 3.00811E+11 2.55155E+13 36904509270 46141063140 17466635258 47781618.25 1434362.448 887937013.2 429519.548 887937013.2
81 2.80128E+11 2.28133E+13 34367019243 44300536549 16100969598 46109675.92 1430717.844 822687246.3 425170.6541 822687246.3
82 2.60867E+11 2.03973E+13 32004002627 42533426951 14842081383 44496237.08 1427082.5 762232337.5 420865.7929 762232337.5
83 2.4293E+11 1.82371E+13 29803462935 40836805807 13681621994 42939254.61 1423456.393 706219938.4 416604.5184 706219938.4
84 2.26227E+11 1.63057E+13 27754228533 39207861394 12611895567 41436753.02 1419839.5 654323592.5 412386.3895 654323592.5
85 2.10672E+11 1.45788E+13 25845895934 37643894147 11625807953 39986825.96 1416231.798 606240832.9 408210.9692 606240832.9
86 1.96186E+11 1.30349E+13 24068776973 36142312184 10716819675 38587633.78 1412633.262 561691419.5 404077.8251 561691419.5
87 1.82697E+11 1.16544E+13 22413849628 34700627010 9878902561 37237401.19 1409043.869 520415705.5 399986.5291 520415705.5
88 1.70135E+11 1.04202E+13 20872712216 33316449394 9106499760 35934415.03 1405463.597 482173124.1 395936.6576 482173124.1
89 1.58437E+11 9.31662E+12 19437540739 31987485412 8394488899 34677022.09 1401892.423 446740786.6 391927.7912 446740786.6
90 1.47543E+11 8.32995E+12 18101049162 30711532638 7738148107 33463627 1398330.322 413912183 387959.5146 413912183
91 1.37398E+11 7.44777E+12 16856452428 29486476503 7133124701 32292690.21 1394777.272 383495978.9 384031.4168 383495978.9
92 1.27951E+11 6.65901E+12 15697432005 28310286784 6575406325 31162726.07 1391233.251 355314899.7 380143.0912 355314899.7
93 1.19153E+11 5.95379E+12 14618103816 27181014242 6061294334 30072300.86 1387698.234 329204698.1 376294.1349 329204698.1
94 1.1096E+11 5.32326E+12 13612988361 26096787393 5587379273 29020031.09 1384172.2 305013196.4 372484.1494 305013196.4
95 1.03331E+11 4.7595E+12 12676982900 25055809404 5150518258 28004581.63 1380655.125 282599399.3 368712.74 282599399.3
96 96226141530 4.25545E+12 11805335551 24056355114 4747814141 27024664.1 1377146.987 261832673 364979.5163 261832673
97 89609798993 3.80478E+12 10993621161 23096768181 4376596294 26079035.19 1373647.762 242591982.9 361284.0915 242591982.9
98 83448384690 3.40183E+12 10237718844 22175458330 4034402897 25166495.09 1370157.429 224765188.8 357626.0829 224765188.8
99 77831238889 3.02609E+12 9535813250 21263940000 3707823306 24250000 1366666.667 208300000 353600 208300000
100 68268798848 2.59384E+12 8710050292 19330907987 3445101174 23401460.27 1333333.333 192993141.2 350019.793 192993141.2
101 60104618960 2.23925E+12 7994812901 17586400344 3171478555 22582612.07 1300000 178811102.1 346475.8357 178811102.1
102 52983227885 1.93592E+12 7344505777 16014240503 2921969472 21792416.46 1266666.667 165671225.5 342967.7611 165671225.5
103 46763103132 1.67607E+12 6752682418 14595955489 2694242957 21029870.85 1233333.333 153496928.6 339495.2057 153496928.6
104 41323038774 1.45312E+12 6213590143 13315204449 2486212905 20294007.72 1200000 142217256 336057.8101 142217256
105 36559072427 1.26154E+12 5722089730 12157515324 2296010331 19583893.42 1166666.667 131766466.5 332655.2181 131766466.5
106 32381900295 1.09669E+12 5273585016 11110056151 2121959007 18898626.96 1133333.333 122083649.9 329287.0775 122083649.9
107 28714699113 9.5464E+11 4863961137 10161436136 1962554017 18237338.88 1100000 113112372 325953.0394 113112372
108 25491287958 8.3206E+11 4489530276 9301532422 1816442877 17599190.16 1066666.667 104800345.6 322652.7584 104800345.6
109 22654574392 7.26139E+11 4146983958 8521339020 1682408877 16983371.11 1033333.333 97099125.77 319385.8929 97099125.77
110 20155238901 6.3449E+11 3833351040 7812834895 1559356382 16389100.38 1000000 89963827.62 316152.1044 89963827.62
111 17950619354 5.55086E+11 3545960685 7168868651 1446297829 15815623.97 966666.6667 83352864.57 312951.0581 83352864.57
112 16003763643 4.86202E+11 3282409677 6583057582 1342342229 15262214.27 933333.3333 77227706.02 309782.4225 77227706.02
113 14282623949 4.26368E+11 3040533550 6049699207 1246684979 14728169.11 900000 71552652.79 306645.8694 71552652.79
114 12759370459 3.7433E+11 2818381043 5563693643 1158598817 14212810.9 866666.6667 66294629.02 303541.0739 66294629.02
115 11409805992 3.29017E+11 2614191483 5120475417 1077425808 13715485.76 833333.3333 61422989.45 300467.7146 61422989.45
116 10212865982 2.89513E+11 2426374740 4715953488 1002570206 13235562.68 800000 56909340.74 297425.473 56909340.74
117 9150190787 2.55031E+11 2253493428 4346458450 933492110.1 12772432.75 766666.6667 52727376.07 294414.0343 52727376.07
118 8205759366 2.24899E+11 2094247106 4008695985 869701816.7 12325508.36 733333.3333 48852721.73 291433.0864 48852721.73
119 7365575095 1.98538E+11 1947458220 3699705790 810754779.6 11894222.44 700000 45262795.13 288482.3206 45262795.13
120 6617395943 1.75449E+11 1812059592 3416825307 756247115 11478027.79 666666.6667 41936673.13 285561.4314 41936673.13
121 5950502455 1.55205E+11 1687083278 3157657630 705811586.6 11076396.34 650000 38854970.14 282670.1163 38854970.14
122 5355497986 1.37435E+11 1571650621 2920043117 659114014.9 10688818.51 633333.3333 35999725.11 279808.0758 35999725.11
123 4824136485 1.21821E+11 1464963380 2702034222 615850064.4 10314802.54 616666.6667 33354296.84 276975.0135 33354296.84
124 4349173849 1.08086E+11 1366295795 2501873176 575742366 9953873.895 600000 30903267.02 274170.6361 30903267.02
125 3924239477 95991858542 1274987499 2317972171 538537936.3 9605574.618 583333.3333 28632350.35 271394.653 28632350.35
126 3543725123 85331600320 1190437165 2148895750 504005862.7 9269462.796 566666.6667 26528311.26 268646.7768 26528311.26
127 3202688630 75925827040 1112096820 1993345141 471935223.5 8945111.973 550000 24578886.8 265926.7229 24578886.8
128 2896770448 67618725822 1039466737 1850144305 442133218.8 8632110.617 533333.3333 22772715.18 263234.2096 22772715.18
129 2622121144 60274838243 972090863 1718227507 414423488.9 8330061.594 516666.6667 21099269.5 260568.958 21099269.5
130 2375338409 53776272414 909552699.5 1596628228 388644599.9 8038581.668 500000 19548796.44 257930.6922 19548796.44
131 2153412244 48020314312 851471606.6 1484469259 364648678.9 7757301.012 483333.3333 18112259.4 255319.1388 18112259.4
132 1953677205 42917378748 797499473.5 1380953859 342300183.8 7485862.74 466666.6667 16781285.82 252734.0275 16781285.82
133 1773770777 38389249590 747317722.2 1285357840 321474792.2 7223922.453 450000 15548118.41 250175.0905 15548118.41
134 1611597024 34367566657 700634605.3 1197022484 302058397.7 6971147.806 433333.3333 14405569.91 247642.0628 14405569.91
135 1465294838 30792523209 657182770.1 1115348193 283946203.4 6727218.079 416666.6667 13346981.22 245134.682 13346981.22
136 1333210159 27611743465 616717058.5 1039788808 267041900.8 6491823.778 400000 12366182.58 242652.6885 12366182.58
137 1213871658 24779314188 579012520.6 969846494.5 251256926.9 6264666.236 383333.3333 11457457.61 240195.8253 11457457.61
138 1105969420 22254948270 543862617.8 905067159.7 236509791.2 6045457.238 366666.6667 10615510.01 237763.8378 10615510.01
139 1008336249 20003261554 511077598.1 845036332.5 222725465.2 5833918.655 350000 9835432.659 235356.4743 9835432.659
140 919931244.3 17993146890 480483024.2 789375454.3 209834828.5 5629782.088 333333.3333 9112679.041 232973.4854 9112679.041
141 839825372 16197231789 451918440.6 737738542 197774166.2 5432788.53 326666.6667 8443036.741 230614.6242 8443036.741
142 767188768.2 14591408021 425236164.8 689809181.5 186484711.9 5242688.039 320000 7822602.891 228279.6466 7822602.891
143 701279558.5 13154423202 400300190 645297817.4 175912232 5059239.417 313333.3333 7247761.424 225968.3107 7247761.424
144 641434005.1 11867525843 376985190.1 603939307.1 166006648.3 4882209.906 306666.6667 6715161.998 223680.3771 6715161.998
145 587057814.6 10714156554 355175614.1 565490713.2 156721693.4 4711374.893 300000 6221700.47 221415.6089 6221700.47
146 537618463.6 9679679145 334764864.2 529729308.3 148014597.1 4546517.624 293333.3333 5764500.804 219173.7715 5764500.804
147 492638416.9 8751146248 315654546.9 496450771.4 139845801.3 4387428.929 286666.6667 5340898.309 216954.6327 5340898.309
148 451689129.5 7917094816 297753791.7 465467556.3 132178698.3 4233906.96 280000 4948424.108 214757.9628 4948424.108
149 414385737.3 7167367546 280978631 436607413.4 124979393.5 4085756.929 273333.3333 4584790.748 212583.5342 4584790.748
150 380382353.8 6492956784 265251433.7 409712051.7 118216487.7 3942790.863 266666.6667 4247878.869 210431.1217 4247878.869
151 349367899.2 5885867954 250500389.3 384635924.7 111860878.8 3804827.371 263333.3333 3935724.851 208300.5025 3935724.851
152 321062400.2 5338999971 236659037.3 361245129.5 105885579.3 3671691.405 260000 3646509.371 206191.4558 3646509.371
153 295213703.4 4846040430 223665836.8 339416407 100265551.2 3543214.042 256666.6667 3378546.798 204103.7632 3378546.798
154 271594554.4 4401373660 211463773.3 319036234.6 94977552.89 3419232.274 253333.3333 3130275.369 202037.2086 3130275.369
155 250000000 4000000000 200000000 300000000 90000000 3300000 250000 2900000 200000 2900000
156 234000000 3760000000 186000000 288000000 85000000 3040000 246666.6667 2740000 201000 2740000
157 218000000 3520000000 172000000 276000000 80000000 2780000 243333.3333 2580000 202000 2580000
158 202000000 3280000000 158000000 264000000 75000000 2520000 240000 2420000 203000 2420000
159 186000000 3040000000 144000000 252000000 70000000 2260000 236666.6667 2260000 204000 2260000
160 170000000 2800000000 130000000 240000000 65000000 2000000 233333.3333 2100000 205000 2100000
161 162000000 2520000000 122000000 234000000 64000000 1900000 231666.6667 2080000 206000 2080000
162 154000000 2240000000 114000000 228000000 63000000 1800000 230000 2060000 207000 2060000
163 146000000 1960000000 106000000 222000000 62000000 1700000 228333.3333 2040000 208000 2040000
164 138000000 1680000000 98000000 216000000 61000000 1600000 226666.6667 2020000 209000 2020000
165 130000000 1400000000 90000000 210000000 60000000 1500000 225000 2000000 210000 2000000
166 123000000 1310000000 85400000 200000000 57000000 1390000 223333.3333 1860000 211000 1860000
167 116000000 1220000000 80800000 190000000 54000000 1280000 221666.6667 1720000 212000 1720000
168 109000000 1130000000 76200000 180000000 51000000 1170000 220000 1580000 213000 1580000
169 102000000 1040000000 71600000 170000000 48000000 1060000 218333.3333 1440000 214000 1440000
170 95000000 950000000 67000000 160000000 45000000 950000 216666.6667 1300000 215000 1300000
171 92800000 920000000 62600000 154000000 43400000 930000 215000 1280000 216000 1280000
172 90600000 890000000 58200000 148000000 41800000 910000 213333.3333 1260000 217000 1260000
173 88400000 860000000 53800000 142000000 40200000 890000 211666.6667 1240000 218000 1240000
174 86200000 830000000 49400000 136000000 38600000 870000 210000 1220000 219000 1220000
175 84000000 800000000 45000000 130000000 37000000 850000 208333.3333 1200000 220000 1200000
176 78400000 750000000 42400000 126000000 35600000 790000 206666.6667 1180000 222000 1180000
177 72800000 700000000 39800000 122000000 34200000 730000 205000 1160000 224000 1160000
178 67200000 650000000 37200000 118000000 32800000 670000 203333.3333 1140000 226000 1140000
179 61600000 600000000 34600000 114000000 31400000 610000 201666.6667 1120000 228000 1120000
180 56000000 550000000 32000000 110000000 30000000 550000 200000 1100000 230000 1100000
181 53800000 510000000 27600000 109000000 28600000 520000 198333.3333 1070000 232000 1070000
182 51600000 470000000 23200000 108000000 27200000 490000 196666.6667 1040000 234000 1040000
183 49400000 430000000 18800000 107000000 25800000 460000 195000 1010000 236000 1010000
184 47200000 390000000 14400000 106000000 24400000 430000 193333.3333 980000 238000 980000
185 45000000 350000000 10000000 105000000 23000000 400000 191666.6667 950000 240000 950000
186 43800000 330000000 9500000 103000000 22600000 382000 190000 910000 238000 910000
187 42600000 310000000 9000000 101000000 22200000 364000 188333.3333 870000 236000 870000
